Season,Tm,W,L,W/L%
2017-18,BOS,55,27,0.671
2017-18,TOR,59,23,0.72
2017-18,NYK,29,53,0.354
2017-18,PHI,52,30,0.634
2017-18,BRK,28,54,0.341
2017-18,MIN,47,35,0.573
2017-18,OKC,48,34,0.585
2017-18,DEN,46,36,0.561
2017-18,POR,49,33,0.598
2017-18,UTA,48,34,0.585
2017-18,CLE,50,32,0.61
2017-18,DET,39,43,0.476
2017-18,MIL,44,38,0.537
2017-18,IND,48,34,0.585
2017-18,CHI,27,55,0.329
2017-18,GSW,58,24,0.707
2017-18,LAC,42,40,0.512
2017-18,PHO,21,61,0.256
2017-18,SAC,27,55,0.329
2017-18,LAL,35,47,0.427
2017-18,WAS,43,39,0.524
2017-18,MIA,44,38,0.537
2017-18,CHO,36,46,0.439
2017-18,ORL,25,57,0.305
2017-18,ATL,24,58,0.293
2017-18,HOU,67,15,0.817
2017-18,SAS,47,35,0.573
2017-18,NOP,48,34,0.585
2017-18,DAL,24,58,0.293
2017-18,MEM,21,61,0.256
2018-19,BOS,49,33,0.598
2018-19,TOR,58,24,0.707
2018-19,NYK,17,65,0.207
2018-19,PHI,51,31,0.622
2018-19,BRK,42,40,0.512
2018-19,MIN,36,46,0.439
2018-19,OKC,49,33,0.598
2018-19,DEN,54,28,0.659
2018-19,POR,53,29,0.646
2018-19,UTA,50,32,0.61
2018-19,CLE,19,63,0.232
2018-19,DET,41,41,0.5
2018-19,MIL,60,22,0.732
2018-19,IND,48,34,0.585
2018-19,CHI,22,60,0.268
2018-19,GSW,57,25,0.695
2018-19,LAC,48,34,0.585
2018-19,PHO,19,63,0.232
2018-19,SAC,39,43,0.476
2018-19,LAL,37,45,0.451
2018-19,WAS,32,50,0.39
2018-19,MIA,39,43,0.476
2018-19,CHO,39,43,0.476
2018-19,ORL,42,40,0.512
2018-19,ATL,29,53,0.354
2018-19,HOU,53,29,0.646
2018-19,SAS,48,34,0.585
2018-19,NOP,33,49,0.402
2018-19,DAL,33,49,0.402
2018-19,MEM,33,49,0.402
2021-22,BOS,51,31,0.622
2021-22,TOR,48,34,0.585
2021-22,NYK,37,45,0.451
2021-22,PHI,51,31,0.622
2021-22,BRK,44,38,0.537
2021-22,MIN,46,36,0.561
2021-22,OKC,24,58,0.293
2021-22,DEN,48,34,0.585
2021-22,POR,27,55,0.329
2021-22,UTA,49,33,0.598
2021-22,CLE,44,38,0.537
2021-22,DET,23,59,0.28
2021-22,MIL,51,31,0.622
2021-22,IND,25,57,0.305
2021-22,CHI,46,36,0.561
2021-22,GSW,53,29,0.646
2021-22,LAC,42,40,0.512
2021-22,PHO,64,18,0.78
2021-22,SAC,30,52,0.366
2021-22,LAL,33,49,0.402
2021-22,WAS,35,47,0.427
2021-22,MIA,53,29,0.646
2021-22,CHO,43,39,0.524
2021-22,ORL,22,60,0.268
2021-22,ATL,43,39,0.524
2021-22,HOU,20,62,0.244
2021-22,SAS,34,48,0.415
2021-22,NOP,36,46,0.439
2021-22,DAL,52,30,0.634
2021-22,MEM,56,26,0.683